uid,cost,availability,reputation,speed,coverd_regions,facility,number_places,rating
27,2.6454311267291173,0.5173971887424798,0.42359737371579476,99.40911081810019,"[0, 1, 7, 8, 9, 13, 20, 21, 23, 24, 25, 28]",bus,4,3
28,2.6649152713184625,0.7923357303209824,0.6891876760302609,102.87456359050866,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30]",bus,6,2
29,1.346836273149419,0.6236665717879839,0.589924459523825,97.18711753558141,"[10, 11, 13, 17, 21, 22, 23, 24, 25, 30]",car,6,3
30,3.040806430024016,0.3659013072828832,0.33846672997768246,94.43431672061364,"[1, 3, 8, 9, 11, 12, 14, 17, 19, 20, 24, 26, 28]",car,6,4
31,2.966495244819209,0.32951758913703366,0.910229540235993,91.53452633760233,"[2, 8, 11, 16, 20, 22, 23, 26, 27, 28, 29]",bus,2,5
32,3.9686646108716883,0.7640641472246308,0.7463454712744022,105.2796927267415,"[2, 7, 12, 13, 16, 21, 29, 30]",car,2,4
33,3.3960622919390593,0.639319105858587,0.3769963103641487,95.93696387093722,"[1, 8, 9, 14, 16, 21, 22, 27, 28, 30]",car,4,2
34,3.0236706216661724,0.515247671989903,0.5071013368968794,88.5851596540956,"[7, 9, 11, 12, 13, 14, 18, 20, 25, 26, 28, 30]",bus,2,2
35,4.44921810358348,0.7746915269419303,0.6576166183082462,102.42001451175204,"[16, 17, 20, 29]",bus,4,3
36,2.5219397683835263,0.7691276987151302,0.5029431659858912,91.95382420162596,"[1, 11, 13, 14, 15, 16, 20, 21, 22, 23, 24, 27, 29]",bus,4,4
37,2.219119065745925,0.7626857779254314,0.6924386287752234,104.61534101478355,"[0, 3, 4, 5, 6, 9, 12, 13, 15, 16, 18, 19, 20, 21, 27, 28, 29, 30]",bus,6,5
38,3.0709033821239666,0.3057165611896354,0.7335750765500795,97.61001994122542,"[0, 1, 2, 3, 9, 10, 11, 12, 15, 20, 21, 27, 29, 30]",bus,4,4
39,3.911329365555818,0.7143703094535317,0.5801349818154458,104.90164428057979,"[0, 17, 4, 26, 13]",bus,2,4
40,3.100193463351164,0.5883093983818676,0.38893212455845527,98.385222533525,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,1
41,4.131430542132196,0.5995543605149284,0.4038471779990953,100.83891797070322,"[0, 4, 5, 8, 12, 14, 16, 17, 18, 19, 21, 27, 28, 29]",bus,2,4
42,1.678945170098183,0.547834319649358,0.3695782817188602,94.68353260718668,"[0, 3, 7, 8, 10, 11, 12, 13, 16, 19, 20, 22, 23, 26]",car,6,3
43,3.6222297334568037,0.5495591088342499,0.3810145689860438,98.29787624190861,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29]",bus,2,5
44,3.6759892062529174,0.500677614235998,0.7534444798165706,102.46997165020905,"[0, 1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30]",car,4,4
45,2.0447372426610295,0.46931318485772483,0.6758773259443445,98.47723334603955,"[3, 6, 7, 8, 9, 10, 11, 13, 14, 16, 18, 19, 21, 22, 25, 26, 28, 29, 30]",car,4,4
46,4.258208962450322,0.3367678247541278,0.4317181728010161,103.9009641244404,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,5
47,3.6115908616262784,0.5665021435465796,0.5680818768907873,96.52876364966413,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,4,5
48,3.316072347962387,0.5480160810799808,0.9326479427663512,101.22192218439316,"[0, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 15, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29]",bus,4,5
49,3.0595563621872035,0.19908288819668907,0.46496794042337575,95.78042281621296,"[0, 1, 2, 3, 4, 6, 8, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24, 26, 27, 30]",car,2,4
50,2.8190600042751237,0.40708587902110915,0.30062798678544206,99.47289332775188,"[2, 3, 18, 6, 23, 10]",car,2,3
51,3.757524251062298,0.5234958609694405,0.3182312601839805,111.52607968763714,"[0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30]",car,2,4
52,3.1772575070505247,0.6665589433437529,0.7289678802106512,85.03100445388172,"[1, 3, 5, 6, 11, 14, 16, 18, 19, 24, 25, 26]",bus,2,3
53,1.7550151458820349,0.4866171755268348,0.25815069099542814,102.16460193440652,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29]",car,4,3
54,3.4696091559081923,0.3919621267281889,0.6251069439357301,101.1161488096311,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30]",bus,6,4
55,3.151796034595235,0.7776651728084879,0.6174618151685151,102.2574635039181,"[25, 2, 5, 15]",car,6,1
56,2.7756310108419315,0.4275834731172569,0.31011924292608817,106.24532199899923,"[2, 3, 4, 6, 11, 12, 14, 17, 18, 19, 21, 22, 24, 30]",car,6,1
57,3.4265225350454678,0.6121069072507982,0.2608461934873869,109.9144050834386,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 30]",bus,6,3
58,2.247746754042995,0.39910356822659754,0.2935484700953889,99.22640553402995,"[17, 23]",car,2,1
59,2.2921219842269975,0.5922197808212974,0.3850252412283361,88.8923967165934,"[16, 19, 30, 6, 22, 12, 14]",car,6,5
60,2.5918173107943026,0.43657958313995165,0.46004254067562556,98.39769822274123,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,2,5
61,3.3752876738053383,0.662072530478808,0.41999077570388443,106.51762548018226,"[1, 29, 4, 20, 6, 13]",bus,6,1
62,3.7625602780171388,0.42576431409355175,0.2537249702004116,108.8917795987783,"[0, 2, 3, 4, 6, 7, 10, 11, 13, 16, 19, 20, 24, 26, 27, 30]",bus,2,5
63,2.9772038909762166,0.32082725964948033,0.6563963630085554,95.86090243705155,"[2, 4, 6, 8, 10, 11, 19, 25, 27]",car,2,4
64,2.4946293744574692,0.46900388387779546,0.6682454690695397,101.88859521154951,"[1, 18, 19, 22, 7, 11]",car,6,3
65,4.058588530844122,0.6206891208454541,0.5057765719306647,99.76560630855295,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 29]",bus,2,3
66,1.7138981191246525,0.7275487507399088,0.5049024870426914,116.96141779182494,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 20, 21, 22, 23, 25, 26, 27, 29, 30]",bus,4,5
67,2.6764419065106058,0.6396290902325001,0.5096626002476793,99.0212149051365,"[3, 4, 5, 6, 12, 13, 15, 18, 20, 21, 23, 27, 28]",bus,6,1
68,3.4149275325376403,0.4329072671516972,0.5153162634850064,108.90342614589416,"[4, 5, 6, 7, 8, 9, 11, 15, 16, 20, 21, 22, 25, 27, 30]",bus,2,1
69,2.641403018131081,0.6614152837809788,0.7014908933806436,91.98062929176571,"[3, 9, 10, 11, 14, 16, 21, 22, 24, 25, 28]",car,6,2
70,4.062053080394897,0.6482472816257325,0.6188568548210599,102.15890027117273,"[1, 2, 3, 6, 9, 10, 12, 17, 18, 20, 22]",bus,2,5
71,3.609956648023588,0.8486794655220717,0.39092053663606474,99.52298257978941,"[4, 7, 8, 14, 17, 19, 21, 22, 23, 24, 28]",bus,4,2
72,2.5428417744224507,0.6837690912142979,0.5943602501522978,90.98777217685884,"[1, 2, 6, 12, 14, 15, 16, 18, 22, 23, 28]",bus,4,2
73,4.17412838329227,0.5795710191380148,0.4728863930020899,104.53016497162564,"[0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30]",car,2,4
74,2.6874397098499894,0.4992722692079109,0.3480643001653462,96.2348722117614,"[0, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30]",car,4,1
75,2.2871033125948594,0.4518084784373329,0.5112551603042925,93.72152470918682,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19, 21, 22, 23, 24, 25, 28, 29, 30]",car,4,3
76,3.223597160225732,0.8677644604584269,0.5060879048294898,97.31496945700091,"[0, 1, 2, 4, 5, 8, 11, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 28, 29, 30]",bus,6,2
77,2.379998721528629,0.6999487782479467,0.7318747307370091,96.76952259838436,"[0, 1, 2, 3, 4, 7, 9, 11, 17, 19, 20, 21, 22, 24, 25, 27]",car,4,1
78,2.5839251030942076,0.43624678289636476,0.2639171274694093,96.52409480553095,"[4, 6, 10, 13, 16, 17, 18, 26, 28]",car,6,5
79,4.273616136737704,0.5746853081614335,0.635390498461912,99.79203056675203,"[2, 3, 4, 18, 9, 12, 14]",bus,6,4
80,3.2416864409826105,0.46240306349262894,0.5879942597985504,92.10532490619184,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,5
81,2.6992645964972035,0.5873626193367908,0.4777398277392807,83.93073226910045,"[0, 3, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 28, 29]",car,6,2
82,3.3989269106146693,0.532268680388278,0.48532242520159274,102.00503648187788,"[5, 6, 9, 10, 11, 17, 21, 22, 23, 25, 26, 30]",car,6,4
83,3.101003456380028,0.6450000942875036,0.5106888187976891,91.53407303179375,"[5, 22, 26, 27, 12]",car,2,5
84,2.335922006758504,0.4799093389990203,0.4711485810969161,104.14754444754132,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,1
85,4.078028328618701,0.7113227792752874,0.4152229448084994,98.80401205914858,"[1, 2, 8, 9, 10, 18, 20, 24, 29]",bus,2,2
86,3.261075282590659,0.42757179194725603,0.7983952934741176,108.96295221418795,"[2, 7, 9, 10, 11, 12, 14, 15, 17, 22, 24, 26, 27, 29, 30]",bus,2,1
87,3.7947520368233665,0.6283980865171883,0.41876967007983296,95.30090088534932,"[0, 8, 9, 10, 11, 15, 17, 22, 25]",bus,4,2
88,2.5800907599049867,0.43362239574047917,0.4594457750126114,105.824577045172,"[0, 1, 3, 4, 5, 8, 9, 10, 12, 13, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28]",bus,4,4
89,3.2722337957566183,0.531194503596595,0.43399515515039594,106.58938762154229,"[1, 2, 5, 6, 7, 8, 10, 15, 18, 19, 20, 23, 24, 25, 26, 27, 29, 30]",car,6,1
90,3.44362027914272,0.45356151718983295,0.6720920805292288,99.63948187818559,"[4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 19, 21]",bus,2,4
91,2.460212359584064,0.39794837049464304,0.5446601149665554,96.47157904553848,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 14, 17, 18, 19, 21, 23, 24, 25, 28]",car,2,1
92,2.7857952078211237,0.5345778150420493,0.5872258183506935,92.03616388132886,"[1, 2, 6, 7, 9, 11, 12, 14, 16, 20, 22, 23, 26]",bus,2,1
93,4.769038621811248,0.5176128609689609,0.4122868421830937,100.6102521340241,"[2, 3, 18, 21, 22, 27, 28, 30]",car,6,4
94,2.8833022022593,0.4510205696510674,0.3868276083050377,100.44281783288936,"[0, 1, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30]",car,2,1
95,4.366605225382737,0.38694719030379576,0.29600029738778366,93.41499799990065,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",car,2,2
96,3.1731964306437015,0.33209793364073065,0.3343333872674374,119.57688324627097,"[0, 2, 6, 9, 19, 20, 21, 27]",bus,6,2
97,4.069452355327195,0.6904556402825799,0.4415715030113156,101.18454207561709,"[0, 1, 3, 4, 6, 8, 9, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 28, 30]",car,6,1
98,2.8322170839396437,0.3941638390941158,0.400196459323897,109.48504434147846,"[1, 2, 6, 7, 8, 13, 15, 16, 19, 21, 26, 27, 30]",bus,4,5
99,2.898605508408156,0.5105741569597341,0.5244281947837639,100.42528570430343,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 29, 30]",bus,2,2
100,2.938041055416815,0.3768512556951461,0.36537943327443184,98.52832988249757,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,3
101,2.893601646061185,0.4016629494189154,0.3990521674203349,96.85153512423176,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 25, 27, 28, 30]",bus,2,5
102,3.2603556245976915,0.49601393165260216,0.493454158071918,95.47516359242798,"[0, 2, 5, 7, 8, 9, 12, 13, 17, 21, 24, 28, 30]",car,4,2
103,2.6448686638944015,0.5465692480266029,0.7856921231564459,98.67965435930225,"[0, 3, 5, 8, 15, 16, 18, 19, 20, 22, 26, 28]",bus,6,1
104,2.1505721611312185,0.29074108783214436,0.19108094021515448,100.68802137666884,"[0, 1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 15, 16, 18, 21, 22, 25, 28, 30]",bus,2,4
105,2.299923429983754,0.8178772569936883,0.5759003285960291,108.66374045622932,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30]",bus,4,5
106,2.2923108239871577,0.38201952885347346,0.43925430222624906,82.96859094136397,"[1, 18, 4, 23, 30, 7, 14]",bus,4,2
107,2.207589131187987,0.3536304125092845,0.4588613924924584,102.32048873239371,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 29]",car,2,2
108,2.4810858577770554,0.6634784433437148,0.5805044963905103,107.23551210267044,"[10, 27]",bus,2,5
109,2.5904580859387165,0.5023865297289655,0.40668238108068555,103.69211554030116,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 26, 27, 28, 29, 30]",bus,4,3
110,2.244738701548518,0.3462520040851682,0.6814521920860473,108.20788730937281,"[0, 2, 3, 7, 8, 9, 11, 12, 13, 15, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]",bus,4,1
111,3.958903100575462,0.660379105646698,0.7538701227336545,104.45164625983901,"[0, 1, 2, 3, 5, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 27, 28, 29, 30]",car,6,1
112,2.682778774301922,0.5034516275948749,0.8403018567507743,97.86983897472373,"[0, 2, 3, 5, 8, 11, 12, 14, 15, 17, 18, 19, 22, 23, 24, 26, 27, 28, 30]",bus,4,3
113,3.472488333527385,0.5288601308028619,0.4713144418828401,99.92241705290186,"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 21, 22, 23, 24, 26, 27, 28, 29]",car,2,4
114,2.097552707489031,0.4440771953541426,0.5425266839057931,102.41944802339957,"[0, 10, 12, 14, 22, 24, 26, 28]",bus,4,2
115,1.6804520595900465,0.4633234907706234,0.6011886409594334,92.31949611953274,"[0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,3
116,2.534671991493728,0.6776226913970644,0.7943837168230239,92.84857431229725,"[9, 2, 19]",car,4,2
117,2.8340853863039825,0.26082748702326,0.1928173791906167,103.12562448773534,"[7, 12, 13, 21, 23, 24, 25, 30]",bus,4,5
118,3.0526449538374743,0.5668483509306176,0.41096262152668567,100.20418437237899,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 15, 16, 17, 20, 23, 24, 25, 26, 27, 28, 30]",bus,2,4
119,2.6705905399418035,0.5551007812859261,0.7052704741673006,103.46676573323703,"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]",bus,2,5
120,2.758601500403912,0.45440256097711207,0.43800981696606556,108.75959081293621,"[5, 6, 8, 10, 11, 12, 13, 14, 16, 27, 30]",bus,6,3
121,3.6237442965635878,0.4273177909152841,0.5104375507483222,88.46785408782446,"[16, 4]",bus,4,2
122,2.181964119406797,0.5937791257119449,0.5743167395505894,94.34248523528461,"[1, 2, 3, 4, 6, 10, 12, 13, 14, 18, 19, 21, 23, 24, 26, 27, 28, 29]",bus,2,5
123,3.547516286768418,0.6701827324266371,0.3453477439142646,88.25379347746963,"[1, 2, 4, 6, 8, 9, 11, 12, 13, 14, 17, 20, 23, 25, 26, 30]",bus,2,1
124,3.076724370839602,0.7528177173600877,0.4123978784226022,103.2242227699088,"[0, 4, 6, 7, 13, 14, 16, 23, 27]",car,6,1
125,1.537059321233892,0.653595617904432,0.6060030647954553,99.49609842358286,"[1, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 24, 29, 30]",bus,2,2
126,3.0295208386762624,0.33081420585513166,0.8232800904696433,103.67847491615652,"[0, 3, 20, 25, 27, 28, 13]",bus,4,5
127,3.6472084249547514,0.8526908942675089,0.8644279857824201,91.26679699383594,"[16, 19, 4, 10, 28]",car,6,5
128,3.221242455717371,0.7277640115116033,0.42400067456344775,101.833605143399,"[1, 2, 3, 4, 7, 10, 14, 15, 16, 17, 19, 20, 21, 23, 25, 26, 27, 30]",car,4,5
129,3.56698865449963,0.5666786507182903,0.44742543747754127,98.31458197066256,"[1, 2, 4, 7, 8, 9, 10, 13, 14, 15, 16, 19, 20, 21, 23, 25, 26, 27, 29]",bus,4,3
130,3.5953402770510188,0.4474945049162806,0.34360289348316764,99.76923090394021,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",bus,2,1
131,2.7341166308128186,0.5062676755671232,0.6184485572824485,98.04229249278394,"[19, 17, 11]",car,2,5
132,1.5313397759184824,0.8003130761715525,0.5200408630963577,107.57579498486882,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 15, 16, 17, 21, 22, 25, 26, 28, 29, 30]",bus,2,5
133,3.9085142916353135,0.2577030496358155,0.6587451944189351,99.48206960062606,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,1
134,2.9729084890424704,0.8406479832782556,0.43898087761416404,99.79890822726136,"[18, 12]",bus,4,2
135,3.9209592233743984,0.37263247881152184,0.5241394965574314,105.08707435710552,"[1, 2, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26, 27, 28, 30]",bus,6,5
136,2.6150934210782077,0.7016184210564276,0.5159736083516536,96.52309598080552,"[1, 3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30]",bus,2,5
137,3.354368541864128,0.47436783238402935,0.5304410255120839,89.43016157980632,"[8, 25, 13]",bus,4,5
138,3.4730830878306027,0.49157207165793154,0.4691688944500997,100.65117375098869,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,2,5
139,2.6786532272360297,0.6534923087716287,0.4182523244246558,100.88518118155976,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",bus,6,5
140,3.4765309338374064,0.47569232436499076,0.45827412262948475,94.25543873756587,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 25, 26, 27, 28, 29, 30]",bus,2,3
141,2.963130565555983,0.40055877880849194,0.5458982901249471,91.29679056781872,"[0, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",car,6,1
142,2.9686808812706773,0.5330545485340156,0.4223887085516891,95.1435072571799,"[0, 1, 4, 9, 10, 13, 14, 17, 22, 27, 30]",bus,2,2
143,2.9148542837760507,0.6100784136760935,0.7733490815142025,102.41024593969449,"[17, 5, 11, 12, 29, 15]",bus,2,1
144,3.1286536963364413,0.7548608912578493,0.5845001514450437,104.61707006627547,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 15, 16, 20, 22, 25, 26, 27, 28]",car,6,2
145,3.261421461641421,0.694514485604119,0.6574882881809763,97.82860456248858,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 28, 29, 30]",car,4,1
